Serial,Last Seen,Total Records,Avg CPU (%),Avg Temp (°C),Peak CPU (%),Peak Temp (°C),Peak Power (W)
SGH821WA9N,"03/06/2025, 15:19:51",288,0.0,22.7,0.0,24.0,13.0
SGH243TZVT,"04/06/2025, 03:18:31",115,0.0,16.6,0.0,18.0,60.0
SGH108XTXW,"04/06/2025, 16:11:28",288,0.0,28.2,0.0,29.0,24.0
SGH227WTNK,"04/06/2025, 18:21:34",288,0.0,19.1,0.0,21.0,41.0
SGH034YSSM,"04/06/2025, 03:17:09",288,0.0,28.6,0.0,29.0,75.0
CN702505B3,"04/06/2025, 02:49:13",288,0.0,14.0,0.0,15.0,28.0
SGH741WHWW,"04/06/2025, 13:08:28",118,0.0,20.2,0.0,21.0,114.0
SGH918WT84,"26/12/2024, 16:06:38",288,0.0,21.7,0.0,24.0,60.0
SGH810WY8H,"04/06/2025, 19:38:17",288,0.0,20.0,0.0,21.0,60.0
SGH851TMRG,"04/06/2025, 02:00:03",288,0.0,20.8,0.0,23.0,11.0
SGH918WT85,"04/06/2025, 05:59:01",288,0.0,20.8,0.0,23.0,64.0
SGH045V9T5,"04/06/2025, 02:45:34",288,0.0,19.5,0.0,23.0,76.0
SGH934WQ4L,"04/06/2025, 07:28:40",288,1.9,27.7,3.0,29.0,63.0
SGH101X4P7,"04/06/2025, 03:18:40",288,0.0,17.6,0.0,19.0,34.0
7CE712P2KP,"04/06/2025, 08:56:45",288,0.0,21.5,0.0,24.0,9.0
SGH116T9TK,"04/06/2025, 02:47:38",288,0.0,26.9,0.0,29.0,8.0
SGH949WW81,"04/06/2025, 01:54:19",288,3.2,29.5,8.0,31.0,71.0
SGH946TJCR,"04/06/2025, 08:36:22",288,0.0,20.5,0.0,22.0,9.0
SGH319V4WP,"04/06/2025, 02:47:56",185,0.0,20.6,0.0,21.0,53.0
SGH339MDSV,"03/06/2025, 21:18:40",288,0.0,18.5,0.0,19.0,46.0
SGH806T7AK,"04/06/2025, 01:43:17",288,0.0,21.5,0.0,23.0,18.0
SGH315WYMZ,"04/06/2025, 10:44:04",288,0.0,21.9,0.0,23.0,43.0
SGH919X04J,"04/06/2025, 02:31:47",288,0.0,21.2,0.0,23.0,8.0
SGH902WX8M,"02/06/2025, 19:54:44",180,0.0,20.3,0.0,22.0,25.0
SGH934WDY5,"06/06/2025, 00:24:17",288,0.0,20.2,0.0,22.0,18.0
CN76420BMN,"04/06/2025, 09:08:47",288,5.1,17.3,7.0,18.0,83.0
MXQ54509B1,"03/06/2025, 18:54:22",288,224.4,24.2,247.0,26.0,0.0
SGH849SCKH,"04/06/2025, 03:19:50",288,13.0,24.9,13.0,28.0,26.0
SGH034YSTH,"03/06/2025, 20:30:40",288,0.0,27.9,0.0,29.0,26.0
SGH806T7AN,"04/06/2025, 17:10:13",288,0.0,20.9,0.0,22.0,15.0
SGH316X2L9,"04/06/2025, 02:49:40",288,0.0,20.8,0.0,23.0,96.0
CN781203RW,"04/06/2025, 01:35:41",288,0.0,20.0,0.0,21.0,48.0
SGH849SCKG,"04/06/2025, 01:40:08",288,13.0,24.7,13.0,27.0,28.0
SGH108XTXV,"04/06/2025, 02:59:02",288,0.0,25.2,0.0,26.0,110.0
SGH946TFF2,"04/06/2025, 09:40:14",288,0.0,21.2,0.0,23.0,8.0
SGH946TJCS,"04/06/2025, 02:32:20",288,0.0,19.1,0.0,21.0,14.0
SGH919X04G,"04/06/2025, 21:06:54",288,0.5,20.6,1.0,23.0,10.0
SGH343MYQ3,"04/06/2025, 02:10:21",288,0.1,19.5,1.0,20.0,163.0
SGH116T9TJ,"04/06/2025, 07:30:25",288,0.0,28.0,0.0,30.0,9.0
SGH101WKK4,"04/06/2025, 02:39:40",288,0.0,19.0,0.0,21.0,82.0
SGH338M7X5,"24/04/2001, 20:39:44",288,0.0,17.7,0.0,19.0,69.0
SGH946THNP,"04/06/2025, 02:30:27",288,30.3,19.3,75.0,21.0,148.0
SGH934WQ4V,"04/06/2025, 21:29:24",288,0.0,21.2,0.0,23.0,17.0
SGH537YH0D,"04/06/2025, 00:26:12",288,0.1,28.3,3.0,29.0,0.0
SGH934WDY3,"04/06/2025, 02:44:27",288,0.0,21.7,0.0,24.0,23.0
CN750407HS,"03/06/2025, 19:32:19",288,417.8,28.8,484.0,30.0,0.0
SGH334VLR4,"04/06/2025, 02:39:45",288,0.0,24.8,0.0,27.0,139.0
SGH243TZRX,"04/06/2025, 02:57:10",200,0.0,23.3,0.0,26.0,88.0
SGH339MDKZ,"29/01/2025, 02:10:21",288,0.0,17.9,0.0,19.0,49.0
SGH409KCN3,"04/06/2025, 02:56:30",288,0.0,17.5,0.0,19.0,143.0
SGH946THNT,"04/06/2025, 10:04:58",288,0.0,21.0,0.0,23.0,8.0
SGH509XWLK,"04/06/2025, 02:32:30",288,0.1,23.9,4.0,26.0,0.0
CN7734042T,"04/06/2025, 02:49:28",288,0.0,20.8,0.0,22.0,12.0
SGH338M57M,"06/06/2025, 11:15:56",288,0.0,17.7,0.0,19.0,77.0
SGH341H60Q,"04/06/2025, 02:31:51",288,0.0,18.0,0.0,18.0,0.0
SGH040XN7N,"04/06/2025, 02:32:06",288,46.1,18.8,50.0,20.0,124.0
SGH336VMVT,"04/06/2025, 02:47:16",288,0.0,17.1,1.0,19.0,188.0
SGH02YKZ5,"04/06/2025, 02:53:48",288,0.0,25.6,0.0,28.0,63.0
SGH020YKZ5,"04/06/2025, 02:53:48",288,0.0,25.6,0.0,28.0,63.0
